"time"; "type"; "msg per second"; "mean"; "median"; "90% percentile"; "99% percentile"; "max";
22:01:39; 101; 50; 249.24; 246; 283; 403; 403;
22:01:39; 103; 53; 214.77358490566039; 211; 248; 295; 295;
22:01:39; 109; 4; 240.25; 240; 247; 247; 247;
22:01:40; 111; 3; 225.0; 227; 228; 228; 228;
22:01:40; 101; 58; 246.1206896551724; 244; 279; 305; 305;
22:01:40; 103; 52; 220.15384615384616; 214; 257; 329; 329;
22:01:40; 109; 2; 262.0; 263; 263; 263; 263;
22:01:41; 101; 55; 244.23636363636365; 242; 270; 310; 310;
22:01:41; 103; 55; 219.01818181818183; 213; 258; 295; 295;
22:01:42; 111; 1; 324.0; 324; 324; 324; 324;
22:01:42; 101; 48; 243.39583333333334; 244; 275; 287; 287;
22:01:42; 103; 52; 213.96153846153845; 209; 243; 304; 304;
22:01:42; 109; 1; 283.0; 283; 283; 283; 283;
22:01:43; 111; 1; 206.0; 206; 206; 206; 206;
22:01:43; 101; 51; 246.84313725490196; 243; 285; 306; 306;
22:01:43; 103; 52; 208.28846153846155; 208; 226; 259; 259;
22:01:44; 111; 1; 278.0; 278; 278; 278; 278;
22:01:44; 101; 47; 248.59574468085106; 245; 294; 363; 363;
22:01:44; 103; 43; 215.8139534883721; 212; 252; 332; 332;
22:01:44; 109; 1; 268.0; 268; 268; 268; 268;
22:01:45; 111; 16; 237.125; 241; 255; 332; 332;
22:01:45; 101; 44; 245.6818181818182; 245; 275; 303; 303;
22:01:45; 103; 41; 236.82926829268294; 216; 279; 508; 508;
22:01:45; 109; 17; 287.3529411764706; 289; 319; 321; 321;
22:01:46; 111; 5; 247.6; 251; 295; 295; 295;
22:01:46; 101; 50; 242.76; 241; 267; 303; 303;
22:01:46; 103; 54; 213.0; 212; 227; 307; 307;
22:01:46; 109; 3; 252.33333333333334; 251; 269; 269; 269;
22:01:47; 111; 1; 196.0; 196; 196; 196; 196;
22:01:47; 101; 36; 239.38888888888889; 244; 255; 274; 274;
22:01:47; 103; 37; 213.9189189189189; 214; 252; 255; 255;
22:01:47; 109; 2; 251.0; 258; 258; 258; 258;
22:01:48; 111; 1; 269.0; 269; 269; 269; 269;
22:01:48; 101; 51; 243.31372549019608; 244; 261; 310; 310;
22:01:48; 103; 50; 221.78; 216; 270; 397; 397;
22:01:49; 111; 1; 213.0; 213; 213; 213; 213;
22:01:49; 101; 39; 242.23076923076923; 242; 263; 304; 304;
22:01:49; 103; 39; 213.64102564102564; 212; 234; 268; 268;
22:01:49; 109; 3; 260.6666666666667; 264; 269; 269; 269;
22:01:50; 101; 40; 248.8; 250; 288; 306; 306;
22:01:50; 103; 38; 213.02631578947367; 210; 239; 268; 268;
22:01:51; 101; 53; 250.43396226415095; 243; 275; 452; 452;
22:01:51; 103; 53; 214.20754716981133; 210; 250; 332; 332;
22:01:52; 111; 1; 193.0; 193; 193; 193; 193;
22:01:52; 101; 73; 244.3835616438356; 242; 275; 331; 331;
22:01:52; 103; 78; 221.44871794871796; 211; 272; 477; 477;
22:01:52; 109; 2; 251.5; 255; 255; 255; 255;
22:01:53; 101; 48; 243.77083333333334; 243; 271; 289; 289;
22:01:53; 103; 46; 212.45652173913044; 208; 237; 328; 328;
22:01:54; 111; 4; 222.0; 212; 277; 277; 277;
22:01:54; 101; 48; 243.5; 242; 267; 280; 280;
22:01:54; 103; 53; 223.56603773584905; 211; 268; 491; 491;
22:01:54; 129; 1; 380.0; 380; 380; 380; 380;
22:01:54; 109; 5; 302.4; 320; 352; 352; 352;
22:01:55; 111; 6; 245.83333333333334; 260; 282; 282; 282;
